population_thousands,industrial_output_index,avg_temperature_c,precipitation_mm,water_pricing_tier,infrastructure_age_years,leakage_rate_percent,agricultural_share_percent,conservation_programs,metering_coverage,climate_type,economic_development,water_consumption_ml_per_capita
,69.07020913088701,18.1239497502767,233.30483102551725,High,52.49833941327191,9.638615816028636,64.02358339188702,Comprehensive,Complete,Temperate,,358.89697103980745
760.0,33.07964337988211,30.33107557672146,251.6239647518282,Low,14.67096129372358,31.62836358904592,20.397693711870897,Advanced,Partial,Humid,Medium,271.27080808354356
593.0,89.69304497823198,22.64820183725144,204.45018686238433,High,60.28743090184311,36.173181080518916,,Advanced,Complete,Humid,High,63.96116064532917
746.0,10.04471500950922,20.848424284377145,129.7024490491336,Very High,64.63223554924636,29.991240008386093,38.0209796008791,Basic,Complete,Arid,High,205.94709249084394
888.0,25.634988246534274,14.469486437390433,203.0401343126368,Very High,99.27495824099725,31.84549756518656,30.527207126273783,None,Complete,Temperate,High,201.02465086045527
527.0,14.692335316886162,11.705961343232989,19.1359972707556,Low,40.751559737755834,14.411880212837325,2.2324245771744877,Advanced,Partial,Temperate,Low,300.7829525137149
679.0,59.81933179289843,29.435775380423834,232.23014427865732,Very High,99.75095238278874,,37.891905794567826,None,Partial,Humid,Medium,192.87192575283572
973.0,3.7419213118979444,15.643453742475355,101.12236911690897,Very High,74.0832055426331,,19.76800231169306,Advanced,Partial,Arid,High,356.9513301562824
371.0,86.18303430336151,32.04579175085408,270.58226843444925,,57.542088792421005,18.50499964161319,16.763864344365835,Comprehensive,Partial,Arid,Low,390.89388722534306
951.0,43.79096164501988,10.946345765978677,189.3607317569456,Very High,42.888737546180906,36.84435290540211,45.78788883415048,None,Partial,Temperate,Medium,491.2121686787047
188.0,45.86971930679652,20.989716282391377,,Low,21.288807758677144,21.1340532385582,63.307089816454,Advanced,Partial,Humid,Low,350.5049261768617
358.0,83.47994376496054,29.78151647546865,81.67853093991475,Very High,50.16053374640647,36.56863018943274,,Advanced,Complete,Semi-Arid,Medium,346.0329103053743
211.0,30.66808218523559,19.712311854793477,134.11375557607627,Low,,33.33668618517346,3.2340264307925803,Advanced,Partial,Temperate,Medium,458.0052077585231
67.0,10.777852067296346,31.162656200761955,17.016366085058966,Low,64.71318512046855,36.0083883424041,77.36843804319976,None,Complete,Temperate,Low,152.82549855215413
885.0,24.328915515882123,33.75994161259119,166.92214468101614,High,52.581738510667186,35.44857840638379,14.226662621747774,None,Partial,Temperate,Low,124.12232646940718
911.0,3.010337747288405,19.281591743854396,59.60970638329428,Medium,80.5484264450601,18.56434057056515,,Basic,Complete,Arid,Low,308.1360800984065
216.0,13.401399351373676,10.112729960112942,255.98293008154408,Medium,67.82944241685776,12.614541044485009,40.62140655470189,Basic,Complete,Temperate,Low,384.4246036249298
742.0,,12.047658958708537,24.695197641301203,Very High,79.93091162974065,16.91801800590534,66.38791436869455,Advanced,Partial,Temperate,Medium,124.0465002166345
296.0,50.97640531246556,24.97798355973652,149.58148686141544,High,59.41518121779046,28.06416574837151,29.767906124470215,Advanced,Partial,Arid,Low,378.12644966142955
399.0,57.76804877538343,22.542942037101525,41.437363900961444,Low,14.444518807155983,18.511493786879313,74.38859974480577,None,Partial,Semi-Arid,,
218.0,68.73444246954912,14.333752447688349,222.33380909117497,Very High,37.162228859652636,26.66056274277186,74.45731838414547,Advanced,Partial,Temperate,Low,105.07089734719501
496.0,97.4103253798723,22.40496372153529,61.106834665363266,Medium,49.470030951844834,,33.2713491165957,None,Complete,Temperate,Medium,172.0478641248064
409.0,18.31215165684432,34.79662966995232,185.2466926321431,Low,85.58254599518197,17.34202286577353,68.09845747415628,Advanced,Complete,Humid,,250.65313763158395
934.0,57.98060974587101,19.601569046676424,92.07585677802234,High,18.98299870281156,27.86475885921781,46.81503733273017,None,Complete,Humid,,328.019164999628
808.0,74.30775698504178,27.52132306037189,15.096920863290098,Low,31.497349808031835,15.269029378102383,46.66984038509736,None,Complete,Arid,Medium,442.19250605766945
394.0,89.67959980368286,24.016736999779116,142.5605896955264,Medium,21.41500848944283,39.4161276138851,34.012987741093994,Basic,Complete,Semi-Arid,Low,334.7031513060387
35.0,40.60034431855747,33.31964393801875,209.6015852929615,Low,82.87177832862915,36.87520358232175,28.97234882731474,None,Complete,Semi-Arid,Medium,411.8907018342929
859.0,26.992461550013214,24.028368830206986,221.82117182250508,Low,,39.66531714508278,69.1352949349399,Advanced,Complete,Semi-Arid,Medium,135.91198516501564
522.0,43.34667596749079,16.147295781138908,173.28026990142115,Low,66.0519282503252,10.419765055748297,16.552298654292123,None,Complete,,,272.3426446976171
700.0,13.456242413701991,16.010399635920184,170.28521703131028,Low,,7.484157074420547,46.597397771014776,Advanced,Partial,Humid,Low,256.3733847718429
80.0,98.44642237471695,11.02029574366174,40.50329160673072,Medium,41.576904486836064,28.430558025094054,15.08928935158628,Basic,Partial,Temperate,Medium,290.1396549302956
98.0,15.098664509974569,19.2342061109624,18.18519707534407,Low,10.090539910403395,13.164670367471944,38.16267458030901,Comprehensive,Partial,Semi-Arid,Medium,211.73435228513458
222.0,26.618712783348197,32.61480127146473,216.76347811942105,High,24.50862573816118,32.32208510313002,61.859523443664315,None,Partial,Arid,,52.56413954228834
560.0,58.25755213304416,19.10978699285232,73.04068313383245,Medium,52.318713788199794,,75.6220896685956,Comprehensive,Partial,Temperate,Low,90.46536130430283
614.0,47.94433920667973,17.06585463108903,195.91883712710234,Very High,12.33669577826318,13.890257090469335,43.299675824885924,Comprehensive,Partial,Arid,Low,431.4704805122716
271.0,49.935699554117896,27.153716342712237,29.926666241172473,Very High,28.629478129172902,32.79670279463352,63.69089536667184,Basic,Complete,Humid,High,294.86015175826515
525.0,15.776026711075186,19.219001569397967,150.46821819262078,Medium,76.88042194269234,23.61319130950503,38.85465426731716,Comprehensive,Complete,Humid,Low,332.46334572381903
415.0,35.10638206658607,16.02333083350149,177.22653708390357,Medium,85.8070084243262,,,Advanced,Partial,Semi-Arid,High,214.8810951598889
999.0,41.17245862748852,32.520853760407896,34.839322443987,Medium,81.79444355995577,36.087810906858714,8.929270624294574,None,Partial,Temperate,,167.54190834446206
838.0,98.7437132272309,,13.171276969002754,Low,55.13642454030743,17.83569396796827,,Advanced,Partial,Temperate,Low,
122.0,1.9224222774724797,33.68191976246539,210.58272323590273,High,98.11610497399894,33.86602245417991,26.917999711963336,None,Complete,Semi-Arid,Low,317.03639329007876
624.0,7.901920147483754,30.959822497167753,206.59944399170845,Very High,99.3727705015779,35.409289177848194,66.57616474222375,Comprehensive,Complete,Semi-Arid,Low,50.2444159600567
323.0,4.9313313206319265,16.816411798643255,61.41759506727716,Medium,98.04374397253096,26.635642675350805,6.942136336935549,Comprehensive,Partial,Semi-Arid,High,357.80054145979994
13.0,34.320865172929956,22.88799152335688,166.34741455385358,Very High,74.54180812762854,24.059457780004703,18.529482037408542,Basic,Complete,Humid,Low,409.69069347206266
817.0,49.25759933289247,23.425994554101553,198.65594932640138,Low,69.49713144193217,37.48114216048021,47.179908259708874,None,Partial,Semi-Arid,High,222.78448544069545
994.0,60.15346536380927,26.67548594135694,229.1213264913138,Medium,78.9436950385985,36.23090576484658,70.62804450413287,Comprehensive,Complete,Arid,Medium,193.38412025124265
898.0,16.51982868836015,27.455458977646142,118.17746599075886,Very High,76.77899166116163,10.982930860696863,22.384164610577937,Comprehensive,Complete,Temperate,,267.2762782057507
322.0,61.154965535596695,28.826133089245563,23.979383658591747,Very High,20.365956434501197,,35.52118786174563,Advanced,Complete,Humid,Medium,124.99951564666954
883.0,29.54870882877072,16.27477608197089,64.15850735536813,Medium,21.712100219163325,30.190865432073466,50.33829825581456,Advanced,Partial,Semi-Arid,Low,283.7980747010243
816.0,66.97721765288122,12.695799596877464,164.91965685453735,High,12.649808997188298,8.063597463237766,,Comprehensive,Complete,Semi-Arid,Medium,267.6123598544476
774.0,43.624421385882904,20.680322541894498,162.3495070446065,High,91.69518163556718,30.462406901350032,58.059467701845605,Basic,,Humid,,168.68901020921498
940.0,78.31321962690808,26.662509941212562,166.52762524659468,Low,40.38108516871117,12.479798114347485,33.46215019398354,Advanced,Partial,Humid,Medium,473.34665099264146
745.0,32.63137914432818,11.030096895251063,18.871901116597034,Medium,69.8314972414571,18.16949923156362,0.5232947262218701,None,Partial,Temperate,High,361.0761335388999
735.0,55.68588870178558,21.88803531097259,39.218871029285395,Very High,36.53902776316307,15.015644590470323,76.49206060716577,Basic,,Humid,Medium,119.23158379596708
576.0,51.21881211571038,30.295737571694637,8.169840617289537,High,14.203324718939623,24.35488051420253,56.43706431475497,Advanced,Complete,,Low,245.3615747262551
448.0,25.561981203851726,11.304246287939511,127.63505063932763,Low,51.82931106133802,37.07221172637807,27.434253231506478,None,Partial,Humid,Low,344.01101042479786
822.0,30.746690556906962,27.813125336216387,88.55522431245618,,56.60632044799284,,17.318730616301696,None,Complete,Humid,Low,436.96621401115823
700.0,84.0782555354288,29.844672533013156,175.57695189357565,Low,60.326211590381426,20.100292878188128,25.76816686900525,Comprehensive,Partial,Semi-Arid,Low,108.4587918828154
541.0,82.39879474676482,24.017198350608368,212.07232814088943,Low,75.73772148259206,12.967746262139203,40.07902479715181,Comprehensive,Partial,Temperate,Low,252.71388608810162
844.0,76.4721735970165,17.48993940438847,270.82187345762287,Medium,77.17704235410181,30.158091074328244,53.40438239717705,None,Complete,Arid,High,413.3129390828353
117.0,95.30206193024605,24.621120652222615,37.008439046211095,Very High,,30.536884397033614,39.87335849957777,,Partial,Temperate,Low,138.19757148630333
771.0,7.797215779026301,18.615312092853717,163.5955363866109,High,23.62334176443478,17.08919651554189,10.576147294950884,Advanced,Complete,Arid,Medium,450.8830189921733
955.0,80.75264661906671,17.953104955311403,39.05936932947439,,98.9921299894086,19.176441928086454,8.807765917634933,,,Arid,High,390.2929933075069
432.0,84.66476933293147,22.132390799104787,81.83744513308945,High,60.497373272532016,33.94628723720761,68.27319447481887,Comprehensive,Complete,Semi-Arid,Medium,243.46160138470634
722.0,96.12971065288134,14.380853188175788,39.051668611727685,Low,78.88088301636623,,48.78629855493956,Advanced,Complete,Arid,Low,312.05609552049697
,19.998215523322738,30.734170279458954,187.17502320998386,,26.41517674182504,32.86894333184119,25.712846000054892,Advanced,Partial,Arid,Medium,454.2172327639845
969.0,57.94729557530764,32.48075378185874,145.35647356633916,Very High,57.03410712083656,34.93656794649107,72.75689884754964,None,Complete,Humid,Low,236.37603588239588
368.0,63.032974506880336,24.082985027429153,101.9888382374925,Medium,11.785629577639964,37.14356511985638,32.53544220193007,None,Complete,Humid,High,70.91027589917815
130.0,48.864802851379515,25.744441926420194,274.3486946914313,Low,31.332122532592976,17.795934447571298,60.25665429637045,Advanced,Partial,Arid,Medium,234.96762724373252
613.0,,19.742318019038308,138.94426822061862,Very High,81.95936856129713,29.123833344786533,49.57034433956111,,Partial,Humid,Low,261.6040647658858
186.0,48.63844682083197,34.99053769631739,93.38477883149866,Low,44.59735796569563,19.659482331319982,12.846693382011445,Basic,Partial,Semi-Arid,Low,432.42685112242424
,38.32416116065177,33.39122688003501,281.6964473957988,Low,42.71498293363448,24.545220284574604,7.841775135312368,Basic,Complete,Temperate,Low,244.19631715950266
466.0,1.9468258963827423,12.64306319240401,275.1765263689836,High,,21.4114899394553,69.04079708000896,None,Complete,Temperate,Medium,380.769554732165
120.0,16.84182291027999,20.39998814486444,73.0816295491055,Very High,63.49403663675905,,30.253397204826065,Comprehensive,Complete,Humid,Medium,52.05187009930975
694.0,40.44894481526291,27.457127586752833,52.910320029491274,Medium,26.48606066821572,9.67224239276096,27.131827022239683,,Partial,Semi-Arid,Low,50.96368128836139
864.0,98.79133589699582,12.070112566694613,242.73621068543628,Medium,77.98194882853757,,45.564022703992116,Comprehensive,Partial,Arid,Medium,285.8364348280561
695.0,78.56454438110168,21.00159291221442,,Low,35.872338484838565,6.160084753760359,,Comprehensive,Partial,Arid,Low,233.7852345588722
886.0,25.824423333344825,20.905439039819683,,High,35.64327300396231,24.612020358260175,7.890354019363439,Comprehensive,Complete,Humid,Low,265.3242675260011
850.0,17.607149813532843,,249.05130797238616,Very High,94.51919914258586,17.328989310841642,0.38769301514227195,Comprehensive,Complete,Humid,Medium,105.89151647649817
694.0,95.23706276206279,27.391554620584845,272.7833855489862,High,40.75441403717921,10.29745260422133,73.16096306091717,,Complete,Humid,Medium,441.8578537263822
548.0,97.93257201678702,24.008853726441195,99.05991616041428,Medium,27.159470737046483,16.656030194263092,3.7187152752973063,Comprehensive,Complete,Temperate,Low,358.5038225640896
800.0,24.065139265394407,21.913007081250278,,Very High,19.359554236864074,38.946761040124855,18.92294485435336,None,Partial,Temperate,High,202.79505062052627
868.0,9.966082202312087,15.901885319746134,296.4063351767767,Very High,72.47018926320416,17.607253398162477,46.54096399462641,Basic,Partial,Temperate,High,352.36534819868484
186.0,88.83077576776353,22.273304724890956,63.592554661676225,Medium,18.09328791137748,30.21550821008737,70.08777410801028,Advanced,Complete,Humid,Medium,
364.0,12.532979016723766,32.162861781829875,231.96439184150248,Medium,,34.202103427866696,11.093006862180257,Comprehensive,Complete,Humid,Low,153.65691754652013
798.0,29.98433446283092,12.521957107006056,191.39203437687092,Low,35.65030637078151,14.775257379966625,0.6534724161215522,None,Complete,Arid,Medium,98.9701317691692
,29.144918832121757,19.35414564380854,13.439112228295901,Low,36.88398014598533,9.235034706479812,7.552266843476794,Comprehensive,Partial,Temperate,High,361.7405126347642
921.0,39.73785589100882,14.305511814532556,95.06659973531055,Low,29.970266860252856,26.184972850397095,42.760697930758965,Basic,Partial,Semi-Arid,,470.54922845234637
725.0,63.9848223059605,10.914371889496717,75.89128424144931,Very High,31.70695778576835,36.53044406841603,22.3496850794678,Comprehensive,Complete,Temperate,High,151.17145450543586
407.0,1.9102444273058627,15.234610201964045,9.342250810574825,Very High,79.75689747279927,30.66758875710013,37.261801440675555,None,Partial,Humid,High,492.26725079100106
,51.282586518547866,26.06262181144657,82.75171031708747,Medium,86.28103099589332,19.994329334675186,48.11447589741982,Basic,Complete,Arid,Medium,186.77459284587738
401.0,29.33895693551225,34.933465879484444,158.40326020213726,Medium,29.74952748978159,28.482147821465038,14.032271759142727,None,Partial,Arid,High,299.01822499127843
510.0,70.6460226598466,22.089475128162753,11.549432198526421,Medium,89.5239547847929,27.048428961842237,72.01636916889052,Comprehensive,Complete,Temperate,High,286.84426663225986
547.0,58.4400104724857,31.502501672997095,261.7604413322803,Medium,28.65735504629156,29.47426257820423,68.6114581713554,Basic,,Humid,,413.7980561546515
321.0,35.15110508793726,30.00959347044262,64.1719291406583,Very High,42.98611700355848,34.517713172132574,3.123457463731949,,,Arid,High,389.16644949325564
964.0,31.01583616514212,10.791302389755044,93.67032807428201,Low,90.53926128042909,33.81811964827578,,,Partial,Arid,High,471.14891893771
770.0,46.81951928578728,15.337206055847393,6.289652490964626,Very High,46.867417060287494,12.226830593212881,14.082442290411663,Advanced,Complete,Arid,Low,154.02612206378967
35.0,99.26898460170129,31.429006961105156,176.69423003336843,Very High,37.994459233530414,9.598422161470236,58.30968506301371,Basic,Partial,Temperate,High,346.02828772322295
852.0,85.99550041192586,24.564391887197218,19.78498352506194,Very High,40.804946564340256,37.62404414014276,30.745274783060772,Comprehensive,Partial,Temperate,Low,439.02384071725817
512.0,46.15121028968304,15.234506473141026,66.10211591896089,High,26.62070944911857,20.486198093620068,29.441277869002114,None,Complete,Temperate,Medium,189.2644832952289
492.0,13.257117447290733,11.615712674005627,90.22018999514265,High,24.535744583088114,14.85394723157741,78.6006535121602,Comprehensive,Complete,Semi-Arid,,62.56283142530407
886.0,68.64837827187193,,56.86222697025867,High,88.8484007420996,36.80997106714102,18.10966965269518,Basic,Complete,Temperate,High,86.6992031467946
127.0,22.46305875853554,11.520927511930722,251.72039716271203,Very High,26.111851360396923,30.863406125352036,23.619755793738292,Comprehensive,Partial,Humid,Low,394.0638084667065
912.0,14.473057283835844,34.74535933902635,59.327755541586505,Low,16.997589031485454,27.258412812987558,7.508821312533653,None,Partial,Humid,Low,
223.0,66.16391702083882,12.140308061348044,184.5255950167396,Medium,45.74088843386884,29.58994835875372,3.63169886130132,Advanced,Complete,Humid,High,268.50598768657903
824.0,39.336891061234525,11.242594783683476,235.2532505651078,Very High,96.05780841617634,11.121826715686995,46.37529960071209,Basic,Complete,Semi-Arid,Medium,244.29508674235933
135.0,86.36973925293714,16.582329309165843,246.27890936234783,High,26.349936742173732,9.921642939072978,78.38131153743194,None,Partial,Temperate,High,179.18690691497093
242.0,93.1044932179491,27.526227519034922,129.6844258701692,Medium,78.99507772226151,32.649482887977626,0.953169696317433,None,Partial,Arid,Medium,269.92425001109393
110.0,21.442914531778,25.024095560202625,173.72058240243155,Medium,79.93091458184375,9.275451504730352,46.878784959648854,Advanced,Partial,Temperate,Medium,310.454516366765
785.0,80.29493895768492,13.993938779303768,217.92296830466796,Low,32.44126046453708,36.08286068133815,8.18274292470563,Comprehensive,Complete,Humid,High,406.89763366396625
227.0,24.607835690211168,22.17630192049084,0.5714254241288685,Very High,90.79227993977221,36.390295974825904,8.245766347162125,Basic,Complete,Arid,Medium,432.4545028040794
17.0,31.311315559422848,17.263915110837555,35.674578479635024,Low,75.91724421570635,8.039681883572731,37.44722554278013,Comprehensive,Complete,,High,455.3766217747872
813.0,83.72235743714077,18.947517847646587,236.41931527386149,High,27.880423205575013,19.395712571825445,42.95580163066866,Advanced,Partial,Semi-Arid,High,305.3479702677449
445.0,30.10856596351085,22.182809618019625,46.76037824410765,Very High,34.4234461840901,21.567558173507766,74.76005036799252,None,Partial,Arid,High,401.9891808801977
896.0,78.5837147666628,12.560530877872313,49.01643742451218,Low,56.61581740426764,16.59256474556919,18.856186234548574,Comprehensive,,Temperate,High,147.66354733673995
469.0,9.0087764934066,14.46348152973816,108.20646325085912,,21.13191369138666,28.745931163241764,20.736254714522858,,,Arid,High,424.3514292146798
393.0,69.17208282608584,11.165400356976345,186.43172411540243,Very High,64.06229304290055,21.232952960398247,75.40472959194075,Basic,Partial,Arid,Medium,
839.0,93.94933190048533,31.994353689870845,269.2993146538799,High,48.46558309518316,17.181041984883294,56.21511851323546,None,Partial,Temperate,,251.5589150712925
,80.17827947777852,33.08874376351592,34.59439785817568,Very High,14.086208936226559,32.571778858945244,72.734079084388,Comprehensive,Partial,Temperate,Medium,362.5609107225796
816.0,74.82204679280404,11.692883873363623,189.38070047748332,High,65.43438725713943,12.172130005428087,8.194745706142497,Comprehensive,Partial,Humid,Medium,483.35031382444134
277.0,40.459019431889196,12.365111793570984,35.58256158394797,Very High,84.18059039289525,9.900306004574107,61.32304330658439,Comprehensive,Complete,Semi-Arid,High,
145.0,90.03426859794335,11.208888088743029,145.23330236833132,Very High,57.78102556505585,14.753344651940681,31.87879907929311,Advanced,Partial,Semi-Arid,Low,227.01657113944918
18.0,24.836410902185545,20.24451052628558,241.3561520258615,Low,61.23766364878233,27.37671896166889,63.407354464195876,None,Complete,Humid,Low,359.4242734007996
584.0,90.10899059362684,17.358821348026105,,Very High,83.33550608044263,17.112037371351157,29.695314376419788,Advanced,Complete,Semi-Arid,Low,303.4339420372242
934.0,,29.914912153010782,163.54148256386125,Medium,88.05943910626898,30.484179126442076,8.0873629338166,Comprehensive,Complete,Humid,High,186.2519612127087
262.0,74.31330588384328,22.523838053622775,133.4324019077273,High,36.76765735862283,6.534045931905099,47.70635613481771,None,Complete,Temperate,Low,57.311206476268715
562.0,79.73646364860026,20.223924215077666,252.78121447622823,Very High,86.67559628837716,13.16690822037277,55.56681541772534,Comprehensive,Complete,Semi-Arid,Low,282.1590491689039
400.0,28.5667159504968,11.92784131814042,160.29516576887377,Very High,72.81875216879155,38.48191556434101,79.56073819682955,None,Partial,Humid,Medium,108.16586005933335
982.0,67.90620048131143,27.46656502675809,282.8911747503328,Low,60.652269982836174,11.379765206080771,,Advanced,Complete,Semi-Arid,High,417.3500740134664
165.0,70.79722828194426,34.48656117941225,202.19131081096893,Very High,25.47546035680345,17.21482755754213,71.4502934823903,Basic,Partial,Arid,Low,172.79442332966568
102.0,54.6827491972525,,149.95870017378192,Medium,28.997743598650068,31.695289244431734,0.6555475934805344,None,Complete,Temperate,Medium,397.7124322501804
60.0,23.372520445284163,18.339979534591194,179.0712781855931,Low,85.35788441646518,17.444051167378092,54.31108826986596,None,Partial,Arid,High,186.79246390583572
404.0,58.59742188119679,19.01826950850458,77.39774719754415,Low,11.804493647451205,12.441921051171878,26.935060662217918,None,Partial,Temperate,Low,76.16307464993042
626.0,59.78648959303351,32.937690428791235,,Low,15.465828130079812,34.40112658754586,14.944422912174593,Basic,Complete,Semi-Arid,High,197.54446854453627
864.0,8.850657449587018,27.251447496472853,234.47995851377416,High,64.14865792102884,7.955840337046931,40.16532114192173,None,Partial,Humid,High,355.95514829335866
965.0,0.45420024820727045,20.204316580104546,97.99111643393047,Low,85.334873325392,16.18930332535865,15.814204351194192,None,,Temperate,Low,162.99093854325685
372.0,28.568467174374767,11.50759291020467,209.26487209520138,Very High,51.41867183242198,38.906600775726204,28.643946687364775,None,Partial,Temperate,Low,67.91305829742629
74.0,39.308631834255934,18.14920066273765,5.783243350170997,Medium,36.57264965804072,34.470910154130394,6.904693317697852,Comprehensive,Partial,Temperate,Medium,114.21488393863066
781.0,87.82768932726769,11.881149110488733,234.43940439692713,Very High,43.8912273466149,29.174703703602955,18.34822162326052,None,Complete,Semi-Arid,Medium,354.61441625367956
421.0,66.54603420981753,21.87265296106682,165.9484506048433,Very High,14.689872398923304,10.905105097549537,6.694913647739664,Basic,Partial,Semi-Arid,Medium,484.6589446861907
586.0,0.35378573882611786,19.138399983964824,82.07868040592334,Very High,16.82654601834706,9.289749603889899,9.673341865010041,Basic,Complete,Arid,,254.70767922991337
475.0,91.7173713548744,29.05826217582107,231.5455516992304,High,13.877582677207272,34.1814230049244,28.509057820283097,Comprehensive,Partial,Arid,Low,251.97408246669434
568.0,11.30127482900286,12.794951026260975,233.0446386369026,High,68.78413036648575,24.609921501699784,19.812153862659343,Comprehensive,Complete,Temperate,High,239.453279564544
309.0,,31.386783028275257,16.72931019873911,Medium,59.28274365898085,30.80525800969375,77.01513895161732,Basic,Partial,Arid,High,357.1145938114948
668.0,,16.592211330408865,263.423442636882,Very High,11.683121653037368,6.276871343250405,0.3754948019808424,None,Partial,,Medium,481.3101972477011
548.0,80.945699577537,11.722527316857514,179.5672694036683,Very High,96.8746714378292,39.49241358573301,56.595262298779716,Advanced,Complete,Temperate,Low,244.26733330110318
592.0,32.4574097013814,11.40114522964782,229.96629069296682,,,5.460375386311378,8.665883519369686,,Complete,Humid,Low,107.11011058029686
685.0,43.40835137720976,30.607775917875877,251.06090922637702,Very High,79.67867111092752,9.866214014353043,36.2739716897478,None,Complete,Temperate,High,368.8930887554112
146.0,52.05881750517045,16.103366316635753,160.4180473654718,High,77.16162286322357,5.2512824588330105,52.231562719680184,Basic,Complete,Temperate,Low,361.76047852776037
150.0,54.50502135393577,21.085672448644523,162.1176251732691,Low,63.81287452845309,36.82590742294181,48.056500706181424,Basic,Complete,Temperate,High,64.76655675391103
905.0,47.74099960123749,15.881087500889546,130.22770951513536,Low,83.02581473285629,39.38011685587422,6.28882306504817,Basic,Complete,,Low,308.5237505555199
825.0,13.576123444924281,21.867537601651836,84.49957970032742,Very High,28.023403117869304,26.21900235980255,2.2384058949036945,Comprehensive,Complete,Arid,Medium,146.90708540576168
526.0,31.101274855480565,28.090199633059527,48.47941275705985,Low,91.16433801003296,23.47432534646065,8.376026748338035,Comprehensive,Complete,,Medium,212.70715760472405
241.0,88.18396790878785,15.651443789714136,102.12701507332918,High,92.17769153775654,26.75993670204468,7.856823088906362,None,Partial,Semi-Arid,Low,255.56763615840964
135.0,77.1809717228116,27.73143266959471,48.52517972560169,High,22.80683674073683,35.094817881414706,61.81329178124884,Comprehensive,Complete,Temperate,Low,490.44464886309754
864.0,46.027940785277785,18.879768168759487,180.5027484204618,Medium,89.41743501136355,18.915576252136674,47.26630850789124,Comprehensive,Partial,Humid,High,478.31414528022157
166.0,,20.975125178111618,35.029425260007145,,35.69812734653001,18.461879682514926,63.30709563538802,Comprehensive,Complete,Arid,High,212.57304337538423
,23.845609343738438,10.682810060116054,103.13001950126817,Low,,22.64254263435713,70.55237967517952,Basic,Complete,Humid,High,76.27639233068581
877.0,94.88141544147244,31.0329568817664,264.54193353294227,High,59.19142309584217,14.923907304886917,57.59995677428446,Advanced,Partial,Arid,Low,447.23964592324023
97.0,14.767496233120546,26.18557585122392,98.11039815854565,Low,84.97653960247128,6.192141057148561,74.68599610906843,Comprehensive,Complete,Humid,Medium,152.2505316792279
713.0,96.99607460619328,15.78645240706106,84.48223512117856,Low,87.84480389818248,7.936052170672605,5.051296450421443,Advanced,,Arid,Medium,105.4545724917401
86.0,5.909675078197186,10.717193738732464,130.37268834943444,Very High,44.07107459045797,15.423413057916502,49.95572553002799,Advanced,Complete,Temperate,High,298.93495739152195
871.0,,13.843130397759747,293.03350775861315,Medium,,14.90907806726557,3.6656044878995253,None,Partial,Temperate,Medium,403.97401515117275
91.0,73.46828332947098,32.06050863924907,54.15945744691234,Medium,12.78804336626364,14.186565465590427,20.330525993067496,Comprehensive,Complete,Humid,High,454.5386625665133
575.0,55.66196044703432,23.759866190495313,31.482547649814276,Very High,84.72718052345127,22.62305389489708,66.82661887998441,Basic,Partial,Arid,Low,386.78353826836155
903.0,77.195961077773,25.059279140630103,12.936708345040538,Low,95.64691885209895,14.013189589896792,46.34688999974689,Advanced,Complete,Semi-Arid,Low,480.46883282923574
896.0,38.88650886589124,29.464862686350635,121.19425246789463,Low,72.58902403162361,25.928998393276334,53.78200651165795,None,Partial,Humid,High,290.12988287555055
791.0,15.122850836248091,16.013101787949694,,Low,55.043656930759994,15.341776683587996,,Advanced,,Arid,Medium,452.6245707480325
882.0,67.21143983621629,24.010694422179945,225.43865010765072,Low,17.134567533930905,17.342126523202694,10.619469240799848,Basic,Complete,Humid,Medium,233.80758264636412
691.0,70.79095859912037,25.874098842418583,105.65689850591923,Low,73.38853803192298,19.721197140904465,44.968109629891195,Comprehensive,Complete,Semi-Arid,Low,
742.0,93.13416864615326,12.220143506115447,285.7581573038425,Medium,63.11343091989342,21.072115176125624,39.16910506964092,Comprehensive,Partial,Semi-Arid,High,267.704098112153
712.0,34.3009857962295,28.867863722787188,145.47080009978586,Low,48.6078835504174,5.1809872458219255,7.590598289698365,None,Complete,Arid,Medium,117.3937977980933
132.0,31.768932684845318,25.25258066352169,93.24241480434354,Medium,57.785754230812735,6.755791249611175,13.86559282828503,Advanced,Complete,Semi-Arid,Medium,251.44129193121924
530.0,97.7970540558388,19.267338301090305,281.589883684591,High,79.91979081948524,,72.89214570455334,Basic,Partial,Humid,Low,109.07633001921289
254.0,23.023691808050096,29.039403397135683,94.46875793579346,Medium,88.06401143222276,24.124642322997225,44.82304713882907,Advanced,Complete,Arid,High,241.0629172109078
725.0,92.63750242128704,23.62587644808668,123.94863695666427,Low,18.424723927477046,25.060567903148176,75.69544935591206,None,,Arid,,176.1213531831818
79.0,27.99357201357031,33.32976686172956,276.39010471553837,Low,81.91610203468989,19.694609499108225,16.759135881789497,Basic,Partial,Temperate,Medium,475.9134835089957
584.0,32.51973820631648,18.681317670731115,82.70687929693062,Very High,41.57572104103671,18.83595449299043,30.425339872122787,Basic,Partial,Semi-Arid,High,332.18831777429807
540.0,,13.245592732828445,62.28264014759981,Medium,47.91790165688959,8.014079762216477,52.73851200869074,None,Complete,Temperate,Low,248.51842431922393
248.0,15.518810950698159,13.136922988559935,252.1508298936771,Medium,79.11641637418195,17.999570352843058,30.343916195733254,Comprehensive,Complete,Humid,High,71.79495769579796
